company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,number_of_layoff_events,is_repeat_layoff_company,log_funds_raised,funding_bracket,severity_tier,is_statistical_outlier,outlier_direction
GloriFi,Dallas,Finance,0,1.0,2022-11-21,Unknown,United States,0,1,False,0.0,Small (<$50M),Critical (>50%),False,Typical
Glossier,New York City,Consumer,80,0.33,2022-01-26,Series E,United States,266,3,True,5.58724865840025,Medium ($50-500M),Severe (25-50%),False,Typical
Glossier,New York City,Retail,19,0.08,2022-08-02,Series E,United States,266,3,True,5.58724865840025,Medium ($50-500M),Mild (<=10%),False,Typical
Glossier,New York City,Retail,150,0.38,2020-08-07,Series D,United States,186,3,True,5.231108616854587,Medium ($50-500M),Severe (25-50%),False,Typical
Glovo,Barcelona,Food,250,0.06,2023-01-30,Acquired,Spain,1200,1,False,7.090909822079984,Large ($500M-2B),Mild (<=10%),False,Typical
GoBear,Singapore,Finance,22,0.11,2020-09-01,Unknown,Singapore,97,1,False,4.584967478670572,Medium ($50-500M),Moderate (10-25%),False,Typical
GoBolt,Toronto,Logistics,55,0.05,2023-01-10,Series C,Canada,178,1,False,5.187385805840755,Medium ($50-500M),Mild (<=10%),False,Typical
GoDaddy,Austin,Marketing,451,0.06,2020-06-24,Post-IPO,United States,0,2,True,0.0,Small (<$50M),Mild (<=10%),False,Typical
GoDaddy,Phoenix,Marketing,530,0.08,2023-02-08,Post-IPO,United States,800,2,True,6.68586094706836,Large ($500M-2B),Mild (<=10%),False,Typical
GoFundMe,SF Bay Area,Finance,94,0.12,2022-10-26,Series A,United States,0,1,False,0.0,Small (<$50M),Moderate (10-25%),False,Typical
GoHealth,Chicago,Healthcare,800,0.2,2022-08-09,Post-IPO,United States,75,1,False,4.330733340286331,Medium ($50-500M),Moderate (10-25%),False,Typical
Gojek,Jakarta,Transportation,430,0.09,2020-06-23,Series F,Indonesia,4800,1,False,8.476579508530941,Mega (>$2B),Mild (<=10%),False,Typical
Gokada,Lagos,Transportation,20,,2022-11-14,Unknown,Nigeria,12,2,True,2.5649493574615367,Small (<$50M),,False,Typical
Gokada,Lagos,Transportation,54,,2023-01-31,Unknown,Nigeria,12,2,True,2.5649493574615367,Small (<$50M),,False,Typical
GoMechanic,Gurugram,Transportation,0,0.7,2023-01-17,Series C,India,54,1,False,4.007333185232471,Medium ($50-500M),Critical (>50%),True,Unusually High for Funding Level
Gong,SF Bay Area,Sales,80,0.07,2023-02-08,Series E,United States,583,1,False,6.369900982828227,Large ($500M-2B),Mild (<=10%),False,Typical
GoNuts,Mumbai,Media,0,1.0,2022-10-27,Seed,India,0,1,False,0.0,Small (<$50M),Critical (>50%),False,Typical
Goodfood,Calgary,Food,70,,2022-04-07,Post-IPO,Canada,16,1,False,2.833213344056216,Small (<$50M),,False,Typical
GoodGood,Toronto,Retail,0,1.0,2022-11-23,Seed,Canada,6,1,False,1.9459101490553128,Small (<$50M),Critical (>50%),False,Typical
GoodRx,Los Angeles,Healthcare,140,0.16,2022-08-31,Post-IPO,United States,910,1,False,6.814542897259958,Large ($500M-2B),Moderate (10-25%),False,Typical
Google,SF Bay Area,Consumer,12000,0.06,2023-01-20,Post-IPO,United States,26,1,False,3.295836866004329,Small (<$50M),Mild (<=10%),False,Typical
GoPro,SF Bay Area,Consumer,200,0.2,2020-04-15,Post-IPO,United States,288,1,False,5.666426688112432,Medium ($50-500M),Moderate (10-25%),False,Typical
Gopuff,Philadelphia,Food,100,,2022-01-26,Series H,United States,3400,4,True,8.131824785007195,Mega (>$2B),,False,Typical
Gopuff,Philadelphia,Food,250,,2022-10-19,Series H,United States,3400,4,True,8.131824785007195,Mega (>$2B),,False,Typical
