company,number_of_layoff_events,first_layoff_date,last_layoff_date,total_laid_off_all_events,average_days_between_layoffs
Bizzabo,2,2022-07-05,2022-12-01,220,149.0
BlockFi,2,2022-06-13,2022-11-28,250,168.0
Blockchain.com,2,2022-07-21,2023-01-12,260,175.0
Bonsai,2,2022-04-26,2022-06-20,59,55.0
Booking.com,2,2020-07-30,2022-11-01,4601,824.0
Bossa Nova,2,2020-06-29,2020-11-02,61,126.0
Brex,2,2020-05-29,2022-10-11,198,865.0
Brighte,2,2022-06-20,2022-09-09,88,81.0
Built In,2,2020-04-10,2022-10-05,78,908.0
Butterfly Network,2,2022-08-02,2023-01-04,0,155.0
Bybit,2,2022-06-20,2022-12-03,600,166.0
Esper,2,2022-06-23,2023-01-10,0,201.0
Eventbrite,2,2020-04-08,2023-02-28,580,1056.0
Everlane,2,2020-03-27,2023-01-05,257,1014.0
Lighter Capital,2,2020-04-24,2020-07-20,40,87.0
Kaltura,2,2022-08-09,2023-01-04,75,148.0
Kitopi,2,2020-04-29,2022-11-21,217,936.0
Kitty Hawk,2,2020-06-03,2022-09-21,170,840.0
Klarna,2,2022-05-23,2022-09-22,800,122.0
Knotel,2,2020-03-27,2020-10-29,147,216.0
Koho,2,2022-11-17,2023-02-08,15,83.0
Komodo Health,2,2020-04-20,2022-12-13,101,967.0
Kry,2,2022-05-17,2022-10-31,400,167.0
LEAD,2,2022-08-04,2023-01-10,140,159.0
Lambda School,2,2020-04-21,2021-04-29,84,373.0
Leafly,2,2020-03-23,2022-10-18,147,939.0
Lending Club,2,2020-04-21,2023-01-12,685,996.0
Lendis,2,2022-07-04,2022-12-21,18,170.0
Lightico,2,2022-03-31,2023-02-05,40,311.0
FarEye,2,2022-06-10,2023-02-03,340,238.0
LivePerson,2,2020-11-01,2022-09-15,223,683.0
Loggi,2,2022-08-08,2023-02-06,800,182.0
Loom,2,2022-06-01,2022-10-20,57,141.0
8x8,2,2022-10-04,2023-01-18,355,106.0
MasterClass,2,2022-06-22,2023-03-02,199,253.0
McMakler,2,2022-07-26,2022-10-24,190,90.0
Mejuri,2,2020-04-09,2022-08-05,86,848.0
Metromile,2,2020-04-06,2022-07-28,160,843.0
MindBody,2,2020-04-02,2022-10-26,1100,937.0
Mode Analytics,2,2020-05-13,2022-09-12,42,852.0
Momentive,2,2022-10-10,2023-02-15,180,128.0
Monzo,2,2020-04-09,2020-06-03,285,55.0
Namogoo,2,2022-11-09,2023-01-23,45,75.0
Juul,2,2020-05-05,2022-11-10,1300,919.0
JetClosing,2,2020-04-27,2022-06-15,20,779.0
Jellysmack,2,2022-06-09,2023-02-15,208,251.0
IronNet,2,2022-06-22,2022-06-22,145,0.0
Flyhomes,2,2022-07-20,2022-11-09,500,112.0
Food52,2,2022-04-08,2022-06-03,41,56.0
Foodpanda,2,2022-05-26,2022-09-07,140,104.0
Forward,2,2020-04-20,2022-07-11,10,812.0
Freshly,2,2022-07-18,2022-12-12,329,147.0
FrontRow,2,2022-05-27,2022-10-12,275,138.0
Fundbox,2,2020-06-02,2022-10-25,164,875.0
Genesis,2,2022-08-17,2023-01-05,112,141.0
Getaround,2,2020-03-27,2023-02-02,100,1042.0
Getir,2,2022-05-25,2023-02-02,100,253.0
GoDaddy,2,2020-06-24,2023-02-08,981,959.0
GoStudent,2,2022-09-08,2022-12-14,300,97.0
Gokada,2,2022-11-14,2023-01-31,74,78.0
Gorillas,2,2022-05-24,2022-07-03,840,40.0
Homeward,2,2022-08-10,2022-11-16,0,98.0
Homie,2,2022-02-14,2022-10-04,159,232.0
Houzz,2,2020-04-21,2022-12-07,250,960.0
Hubilo,2,2022-07-12,2023-01-19,160,191.0
Huobi,2,2022-06-28,2023-01-06,575,192.0
Hydrow,2,2022-07-18,2023-01-19,30,185.0
Immutable,2,2022-07-26,2023-02-22,20,211.0
InVision,2,2021-10-05,2022-07-21,22,289.0
Infarm,2,2022-09-14,2022-11-28,550,75.0
Innovaccer,2,2022-09-01,2023-01-24,335,145.0
Inspirato,2,2020-03-16,2023-01-18,239,1038.0
Integral Ad Science,2,2020-05-14,2022-12-07,190,937.0
Intel,2,2022-12-06,2023-01-30,544,55.0
iRobot,2,2022-08-05,2023-02-13,225,192.0
